"a", "b", "c", "d", "e", "f", "g", "h", "i", "j", "k", "l", "m"
"10956","sqn","Conestoga","Susquehannock (English), Andaste (French), Minqua (Netherlands Dutch)","Dormant ()","","Iroquoian","","","The Conestoga language is known only from an 89 word vocabulary collected in 1696 and appended to a Delaware language translation of a Lutheran catechism translated by the Swedish missionary Johan Campanius, ","","","41.17, -76.21"
"4047","cnc","Côông","""Xa Coong""; ""Xa Xam""; Khoong; ""Xa Xeng""; Công","Severely Endangered (40 percent certain, based on the evidence available)","450","Sino-Tibetan; Lolo-Burmese","","","","Vietnam;","Southeast Asia","22.5943,102.7455"
"6202","crn, cok","Cora","","Vulnerable (20 percent certain, based on the evidence available)","17,086","Uto-Aztecan; Southern Uto-Aztecan; Corachol","Santa Teresa: Santa Teresa Cora, Dolores Cora, San Blasito Cora, San Juan Corapan Cora, Rosarito Cora. Difficult intelligibility with other Cora varieties.  El Nayar: Jesús María Cora (El Nayar), La Mesa del Nayar Cora (Mesa del Nayar), San Francisco Cora, Presidio de los Reyes Cora. Santa Teresa Cora [cok] is distinct enough to need separate literature.","","Ethnologue distinguishes 2 Cora languages: 
Cora, El Nayar [crn] 8,000 (1993),
Cora, Santa Teresa [cok] 7,000 (1993).","Mexico;","Mexico, Central America, Caribbean","22.014361,-104.811402; 23.604262,-110.130616; 20.94092,-104.088135"
"3091","coe","Coreguaje","Corehuaje; Correguaje; Correguaje-Tama; Koreguaje; Ko'reuaju; Caquetá; Chaocha Pai; Korewahe;","","","Tucanoan; Western Tucanoan","","","","Colombia;","South America","1.0,-75.5"
"4050","cor","Cornish","Kernowek; Kernewek; Curnoack; Cornish","Awakening ()","","Indo-European; Celtic; Brythonic","","","Cornish is a ""revived"" language; it once had no surviving native speakers, with the last known fluent speaker having passed away by the year 1800, but has been learned by many in more recent times. ","United Kingdom;","Europe","50.3333333333,-5.0"
"3171","cos","Corsican","Corsu; Corso; Corse; Corsi;","At risk (20 percent certain, based on the evidence available)","160,000","Indo-European; Italic; Romance","Vico-Ajaccio; Sartenais; Venaco; Northern Corsican (Corte, Bastia);","","","France;Italy;","Europe","42.0819,9.0307"
"10709","","Cosao","Caosao; 搓梭語; tsho55 sɔ55; Cuosuo","Endangered (80 percent certain, based on the evidence available)","","Sino-Tibetan; Tibeto-Burman","","","unclassified before 2004, but now under the Hani 哈尼 nationality. These people fled to China from Laos.","China;Laos;","Southeast Asia;East Asia","21.4515, 102.1121"
"9072","zpp, zpl","Coyachilla","Zimatlán, Zimatlán Zapotec, Coyachilla dialect continuum, Western Zapotec (non-preferred)","","","Otomanguean; Zapotecan","","","","Mexico;","Mexico, Central America, Caribbean",""
"10423","crh","Crimean Tatar","Crimean; qırımtatar tili; крымскотатарский; Tatar de Crimée; Tártaro Crimeano; qırım tili; къырым тили; къырымтатар тили;","Vulnerable (60 percent certain, based on the evidence available)","<100,000","Turkic; Kipchak; West Kipchak","Nogay, Yalıboy, Orta Yolaq","Originally spoken in the central parts of the Crimea, but most speakers were deported to Central Asia after the Second World War; many have now returned.","","Turkey;Russia;Uzbekistan;Kyrgyzstan;Ukraine;Bulgaria;Romania;Lithuania;","Europe;Caucasus;Near East;East Asia","45.393467, 34.268737; 46.643574, 32.605978; 45.068652, 38.979133; 41.399761, 69.933785; "
"2008","cro","Crow","Apsaalooke; Apsaroka; Apsaloka; Upsaroka; Absaruqe;","Threatened (20 percent certain, based on the evidence available)","3000-4000","Siouan; Missouri River Siouan","","","","USA;","North America","45.5963,-107.4613"
"3471","cux, cut","Cuicatec","Cuica; Cuicateco; Cuicatec, Teutila; Kwikateko;","Threatened (20 percent certain, based on the evidence available)","1,641","Otomanguean; Mixtecan","","","Ethnologue has 2 Cuicatec languages, Tepeuxila Cuicatec [cux] and Teutila Cuicatec [cut]. INALI lists 3 Cuicateco ""variantes.""","Mexico;","Mexico, Central America, Caribbean",""
"2465","cui","Cuiva","Cuiba; Cuiba-Wámonae; Kuiva; Chiricoa; Cuiba-Wámonae; Hiwi; Maiben","Threatened (60 percent certain, based on the evidence available)","","Guajiboan","Chiricoa; Masiware (Masiguare); Chiripo (Siripu /Wupiwi); Yarahuuraxi-Capanapara; Mayayero; Mochuelo-Casanare-Cuiba; Tampiwi (Mariposas); Amaruwa (Amorua); Mella; Ptamo; Sicuane (Sicuari)","","","Colombia;Venezuela;","South America","6.5,-70.0"
"1733","cul","Culina","Culino; Culiña; Culinha; Kulino; Cuniba; Curina; Madiha; Kulína; Madihá; Madija; Corina; Kulina; Kulyna; Kurina; Kollina; Korina;","Threatened (20 percent certain, based on the evidence available)","2854","Arawan","","","Not to be confused with Kulina [xpk] (a Panoan language of the Pano-Takanan family).","Brazil;Peru;","South America","-6.0,-70.5"
"2009","cup","Cupeño","Agua Caliente;","Awakening ()","","Uto-Aztecan; Northern Uto-Aztecan; Takic","","","","USA;","North America","33.1666666667,-116.5"
"2466","kpc","Curripaco","Kurripako; Ipeka-Kurripako; Curipaco; Kuripaco; Koripako; Korispaso; Payualiene; Paiorience; Pacu;","Vulnerable (20 percent certain, based on the evidence available)","12,075","Arawakan; Northern Arawakan; Upper Amazon","","","There have been difficulties in the past with the inconsistent treatment of Baniwa [bwi], Curripaco [pkc], Karútana (an extinct dialect of Baniwa), and Ipeka (a dialect of Curripaco in the literature. Sources also confuse other languages that are also called ""Baniwa"" (spelling varies), and sources differ as to what are considered dialects and what are held to be separate languages.
","Brazil;Colombia;Venezuela;","South America","2.5,-68.5"
"8128","quz","Cuzco Quechua","Cusco Quechua; Qheswa; Quechua Cusco; Cusco-Collao","Vulnerable (80 percent certain, based on the evidence available)","1,500,000","Quechuan; Quechua II","Includes Puno, Eastern Apurimac, Noratheastern Arequipa, and Moquegua Quechua","","The question of how to distinguish between entities that are dialects of a single language vs. those that are separate languages is particularly serious in the case of Quechuan languages and dialects, and much work remains to be done. Though it is well-known and very clear that there are a number of distinct languages in the Quechuan complex, some very distinct, the tendency to consider them all merely dialects of “Quechua” persists in many circles. (Cerrón-Palomino 1987.)

The combination Cuzco-Collao (sometimes used for the name) implies the inclusion of Puno and eastern Arequipa Quechua, which are slightly different from Cuzco Quechua and carry a heavy substrate from Aymara (cf. ‘Northern Potosí Quechua’). If Northern Bolivian Quechua were not considered separate, it would be part of this cluster of varieties. (Willem Adelaar personal communication)","Peru;","South America","-13.523176, -71.978731"
"3177","acy","Cypriot Spoken Arabic","Cypriot Arabic: Kormakiti; Cypriot Arabic; Arabic (Kormakiti); Arabic; Cypriot Spoken; Cypriot Maronite Arabic; Maronite; Sanna; Arabic, Cypriot Spoken","Endangered (60 percent certain, based on the evidence available)","<2,000","Afro-Asiatic; Semitic; Arabic","","","","Cyprus;","Europe","35.25,33.5"
"7352","cse","Czech Sign Language","","Vulnerable (20 percent certain, based on the evidence available)","12,000","Sign Language; European","","","","Czech Republic;","Europe","50.01, 14.48"
"4780","dsh","Daasanach","Dhaasanac; Dasenech; Daasanech; Dathanaik; Dathanaic; Dathanik; Gheleba; Geleba; Geleb; Gelebinya; Gallab; Galuba; Gelab; Gelubba; Dama; Marille; Merile; Merille; Morille; Reshiat; Russia; ""Shangilla""; Daasenech;","Vulnerable (20 percent certain, based on the evidence available)","32,064","Afro-Asiatic; Cushitic; Lowland East Cushitic","","","","Kenya;Ethiopia;","Africa","4.66666666667,36.3333333333"
"5009","dbq","Daba","Dabba; Kola;","Vulnerable (20 percent certain, based on the evidence available)","25,000","Afro-Asiatic; Chadic; Biu-Mandara","Pologozom; Musgoi; Nive;","","","Nigeria;Cameroon;","Africa","10.1666666667,13.75"
"4067","dbe","Dabe","Mangambilis;","Endangered (20 percent certain, based on the evidence available)","440","Orya-Tor; Tor","","","","Indonesia;","Southeast Asia","-2.05, 139.12"
"5557","dda","Dadi Dadi","Dadidadi; Dardidardi; Dardi-Dardi; Tharrthi-Tharrthi; Tatitati;","Severely Endangered (20 percent certain, based on the evidence available)","10","Pama-Nyungan; Lower Murray","","","","Australia;","Australia",""
"3181","dta","Dagur","Daur; Daguor; Dawar; Dawo'er; Tahur; Tahuerh; Dahur; Tongusikonni; 達斡爾","Endangered (80 percent certain, based on the evidence available)",">50,000","Mongolic; Daguric","Buteha; Haila'er; Qiqiha'er","","There is considerable but poorly investigated dialectal variation.","China;Mongolia;","East Asia","48.0,124.0"
"2678","dlk","Dahālík","Dahlak; Dahalik;","Threatened (20 percent certain, based on the evidence available)","~2,500","Afro-Asiatic; Semitic; Ethiopic","","","","Eritrea;","Africa",""
"4064","dal","Dahalo","Sanye; Guo Garimani;","Endangered (100 percent certain, based on the evidence available)","<400","Afro-Asiatic; Cushitic; South Cushitic","","","Also known as Sanye, the preferred name since the name Dahalo is derogatory. (Dimmendaal and Voeltz 2007)","Kenya;","Africa","-2.167909, 40.716019"
"4595","das","Daho-Doo","","Threatened (20 percent certain, based on the evidence available)","4,000","Niger-Congo; Atlantic-Congo; Kru","","","","Côte d'Ivoire;","Africa",""
"4103","drb","Dair","Daier; Thaminyi; Nubian (Hill);","Threatened (20 percent certain, based on the evidence available)","1,000","Nubian","","","","Sudan;","Africa","12.517,30.5914"
"1680","crx, caf","Dakelh (Carrier)","ᑕᗸᒡ; Carrier; les Porteurs; Takulie; Takelne; Dakelhne; Central Carrier; Upper Carrier; Nagailer; Taculli;","Severely Endangered (80 percent certain, based on the evidence available)","399","Athabaskan-Eyak-Tlingit; Athabaskan; ","A lot of variation in 12 different dialects ( First People's Cultural Council, 2014).","","Carrier is the general term for a complex of Athabaskan dialects in central British Columbia, adjoining (but clearly distinct from) Babine on the northwest and Chilcotin on the south. Carrier (locally called Dakelh) is spoken in a number of local varieties, traditionally divided into “Upper Carrier” (the communities to the north of Fort St. James, around Stuart and Trembleur Lakes) and “Lower Carrier” in communities to the south. More recent research indicates that Lower Carrier should be split into a Fraser/Nechako dialect group (Prince George, Cheslatta, Stoney Creek, Nautley, and Stellakoh) and a Blackwater dialect group (Ulkatcho, Kluskus, Nazko, Red Bluff, and Anahim Lake). A Carrier lingua franca was established by Catholic missionaries (most notably Father A. G. Morice) in the 19th century, based on the dialect around Fort St. James, and a syllabic writing system was introduced.

Ethnologue distinguishes Carrier [crx] from Southern Carrier [caf], not distinguished by other scholars.","Canada;","North America","53.5600000, -122.8900000"
"1466","dkk","Dakka","Nordost-Celebes;","Threatened (20 percent certain, based on the evidence available)","1,500","Austronesian; Malayo-Polynesian; South Sulawesi","","","","Indonesia;","Southeast Asia","-3.34, 119.23"
"1252","kuf-dak","Dakkang","Daak Kang","Threatened (20 percent certain, based on the evidence available)","<1,198","Austro-Asiatic; Katuic; Katu","","","","Laos;","Southeast Asia","15.6333, 107.25"
"4091","dka","Dakpa","Dakpakha","Vulnerable (20 percent certain, based on the evidence available)","31,000","Sino-Tibetan; Bodish","","","","India;Bhutan;","South Asia","27.3937,91.8965"
"1126","ngk","Dalabon","Ngalkbun; Ngalkbon; Buin; Boun; Buan; Bouin; Buwan; Gundangbon; Ngalabon; Nalabon; Dangbon; Ngalakan; Ngalagan; Nullakun; Nullikan; Nullikin; Ngalbon; Hongalla);","Critically Endangered (20 percent certain, based on the evidence available)","5","Gunwinyguan","","","","Australia;","Australia","-13.673658,133.885725"
"3189","dlc","Dalecarlian","Dalska; Dalmaal;","Threatened (40 percent certain, based on the evidence available)","~13,000","Indo-European; Germanic; North Germanic","Elfdalian","","","Sweden;","Europe","61.2385, 14.0295"
"801","dmm","Dama","","Critically Endangered (100 percent certain, based on the evidence available)","50","Niger-Congo; Atlantic-Congo; North Volta-Congo; Adamawa","","","","Cameroon;","Africa","8.625830, 14.198258"
"7750","dam","Damakawa","Tidama'un","Critically Endangered (100 percent certain, based on the evidence available)","","Niger-Congo; Atlantic-Congo; Benue-Congo; Kainji","","","","Nigeria;","Africa","11.094861,5.506107"
"201","uhn","Damal","Uhunduni; Amung; Amung Kal; Amungme; Amuy; Enggipiloe; Hamung; Oehoendoeni;","Threatened (80 percent certain, based on the evidence available)","4,000-5,000","Isolate","Amongme; Amung; Damal; Enggipilu;","","","Indonesia;","Southeast Asia","-4.2054,137.031"
"4093","dml","Dameli","Damēlī; Damel; Damedi; Damia; Gudoji; Dardu","Vulnerable (100 percent certain, based on the evidence available)","5,000","Indo-European; Indo-Iranian; Indo-Aryan; Northwestern Zone","Shinteri-Dondieri; Aspar","","The Dameli have long been in intense contact with speakers of other languages. Dameli exhibits both Nuristani and Indo-Aryan Dardic features (Habib Borjian). ","Pakistan;","South Asia","35.466, 71.810"
"1412","dms","Dampelas","Dian; Dampal; Dampelasa;","Vulnerable (20 percent certain, based on the evidence available)","10,300","Austronesian; Malayo-Polynesian; Celebic; Tomini-Tolitoli","","","","Indonesia;","Southeast Asia",".2005,119.8965"
"1244","dnu","Danau","Danaw; Kano'; Kano' Chon","Endangered (80 percent certain, based on the evidence available)","","Austro-Asiatic; Palaungic; Danau","","","","Myanmar;","Southeast Asia","21.192,97.3937"
"1440","bea","Dane-Zaa (Beaver)","ᑕᓀ ᖚ; Beaver; Dunne-za; dʌnneza; Dane-zaa Záágéʔ","Severely Endangered (80 percent certain, based on the evidence available)","159","Athabaskan-Eyak-Tlingit; Athabaskan;","","","","Canada;","North America","57.1500000, -122.0000000"
"2296","kkz","Danezāgé' (Kaska)","Kaska; Kaska Dena; Nahani; Caska; Eastern Nahane; Nahane;","Critically Endangered (80 percent certain, based on the evidence available)","5","Athabaskan-Eyak-Tlingit; Athabaskan;","","","","","","59.3000000, -128.6900000"
"7811","daa","Dangaleat","Dangla; Danal; Dangal; Dangaléat;","Vulnerable (20 percent certain, based on the evidence available)","45,000","Afro-Asiatic; Chadic; East Chadic","East Dangaleat; Central Dangaleat; West Dangaléat;","","","Chad;","Africa",""
"7353","dsl","Danish Sign Language","","Threatened (20 percent certain, based on the evidence available)","5,000","Sign Language; European","","","","Denmark;","Europe","55.83, 12.32"
"4066","daz","Dao","Maniwo; ""X-Ray"";","Endangered (20 percent certain, based on the evidence available)","250","Trans-New Guinea; Paniai Lakes","","","","Indonesia;","Southeast Asia","-3.29, 136.42"
"4095","dnd","Daonda","","Endangered (20 percent certain, based on the evidence available)","135","Border; Waris","","","","Papua New Guinea;","Pacific","-3.29588294, 141.2018433"
"4108","dry","Darai","","Endangered (80 percent certain, based on the evidence available)","~3060","Indo-European; Indo-Iranian; Indo-Aryan","","","","Nepal;","South Asia","24.0,84.0"
"4106","drh (retired)","Darkhat","Darkhan; Darkhad; 達爾扈特; 達爾哈特","Vulnerable (20 percent certain, based on the evidence available)","20,400","Mongolic; Common Mongolic; Eastern Common Mongolic","","The ISO code [drh] for Darkhat has been retired (http://www-01.sil.org/iso639-3/chg_detail.asp?id=2009-020). However, as suggested by Juha Janhunen (2014, personal communication), Darkhat is still treated as a separate language on ELP since “Darkhat retains features that make it sufficiently distinct from Khalkha and do not allow it to be classified as a regular Khalkha dialect (for instance, northern Khalkha and southern Khalkha). The Darkhat speakers also have an ethnic identity separate from the Khalkha.” (For more details on Darkhat, see Csaba Gáspár 2006).","","Mongolia;","East Asia","50.171, 98.985; 50.678, 99.230"
"6678","xda","Darkinyung","Darginjang; Darginyung; Darkinjang; Darkinoong; Darkinung; Darkinyun;  Darkiñung; Darknung;Darkinjung;","Awakening ()","","Pama-Nyungan; Yuin-Kuric","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-33.11470744,150.4952383"
"4104","drd","Darma","Darmiya; Darimiya; Sauka; Shauka; Darmani; Saukas; Shaukas; Dārmūyā; Darmiyā","Threatened (100 percent certain, based on the evidence available)","<2,600","Sino-Tibetan; Tibeto-Kanauri","","","","India;Nepal;","South Asia","30.0,79.75"
"10776","","Daruru","","Severely Endangered (20 percent certain, based on the evidence available)","100","Austronesian; Malayo-Polynesian; Oceanic; Northern Vanuatu","","","","Vanuatu;","Pacific","-15.616242,166.785161;"
"10493","dot","Dass","Barawa, Bandas, Boodli, Lukshi, Dekshi, Wangday, Zumbul, Durr-Baraza, Wandi, Dot, Dwat, Zodi","Threatened (20 percent certain, based on the evidence available)","8,830","Afro-Asiatic; Chadic; West Chadic","Lukshi (Dekshi), Durr-Baraza (Bandas), Zumbul (Boodla), Wandi (Wangday), Dot (Dott or Dwat or Zodi)","","","Nigeria;","Africa",""
"2547","kwa","Dâw","Kamã; Kamã Makú; Kam; Kamán; Daw; Dow; Kamarada; Makú-Kamarada; Kaman;","Endangered (20 percent certain, based on the evidence available)","120","Nadahup; Eastern Makuan","","","The term ""Makú"" has pejorative connotations; ""Nadahup"" is the preferred term for this group of languages. ","Brazil;","South America","-0.25,-67.0833333333"
"1470","tce","Dän kʼè (Southern Tutchone)","Dákwänjē; Dän kʼè; Dän kʼè Kwänje; Tutchone; Tuchone; Tutchone, Southern; Southern Tutchone; ","Severely Endangered (60 percent certain, based on the evidence available)","~200","Athabaskan-Eyak-Tlingit; Athabaskan; Northern Athabaskan","","","","Canada;","North America","60.7796,-137.4983"
"305","afn","Defaka","Afakani;","Severely Endangered (40 percent certain, based on the evidence available)","<200","Niger-Congo; Ijoid","","","","Nigeria;","Africa","4.58333333333,7.5"
"4746","mzw","Deg","Degha; Dɛ; Mo; Mmfo; Aculo; Janela; Buru; Buro;","Vulnerable (20 percent certain, based on the evidence available)","27,500","Niger-Congo; Atlantic-Congo; North Volta-Congo; Gur","Mangum; Boe; Longoro;","","","Ghana;Côte d'Ivoire;","Africa","8.300933, -2.180198; 7.940916, -2.056555;"
"2371","ing","Deg Xinag","Kaiyuh-khotana; Deg Hit'an; Degexit'an; ""Ingalik""; ""Ingalit""; Deg Xit'an;","Severely Endangered (20 percent certain, based on the evidence available)","14","Athabaskan-Eyak-Tlingit; Athabaskan; Northern Athabaskan","","","","USA;","North America","62.1655,-156.3134"
"8450","row","Dela-Oenale","Rote; Roti; Rotinese; Rote Barat; Western Rote; Delha; Oe Nale; Rotti; Dela","Vulnerable (80 percent certain, based on the evidence available)","7,000","Austronesian; Malayo-Polynesian; Timor","Oenale; Dela","","","Indonesia;","Southeast Asia","-10.7663218,123.0741913"
"4070","dem","Dem","Lem; Ndem;","Threatened (20 percent certain, based on the evidence available)","1,000","Isolate","","","","Indonesia;","Southeast Asia","-3.72, 137.63"
"1414","dei","Demisa","","Endangered (20 percent certain, based on the evidence available)","400","East Geelvink Bay","","","","Indonesia;","Southeast Asia","-2.7016,136.6699"
"1735","1at","Demushbo","Dëmushbo","Dormant ()","0","Pano-Tacanan; Mayoruna","","","Apparently the last native speaker died between Fleck's report of 2010 and his 2014 monograph on Panoan languages.","Bolivia;","South America",""
"1445","tfn","Dena'ina","K'naia-khotana; Tanaina; Kinayskiy;","Severely Endangered (20 percent certain, based on the evidence available)","~75","Athabaskan-Eyak-Tlingit; Athabaskan; ","","","","USA;","North America","63.3422,-148.8647"
"3229","xsl","Dene K'e (Slavey)","Dene K'e; Dene; Dene Tha'; Acha'otinne; Dene Tha (ᑌᓀ ᒐ) ; Slave; Slavey; South Slavey; Slavi; ""Slave""; Dené; Mackenzian;","Threatened (60 percent certain, based on the evidence available)","~3260","Athabaskan-Eyak-Tlingit; Athabaskan;","","","An emergent Athabaskan language within the Slavey dialect area of the Dene complex.","Canada;","North America","59.4500000, -122.0000000"
"1689","chp","Dënesųłiné","Chipewyan; Montagnais; Dene Suline; Dëne Súline; Sluacus-tinneh; Dene Soun'line; ","Threatened (20 percent certain, based on the evidence available)","2235?","Athabaskan-Eyak-Tlingit; Athabaskan;","","","","Canada;","North America","56.4807,-109.4127"
"2145","ptp-den","Dengalu","","Endangered (40 percent certain, based on the evidence available)","140","Austronesian; Malayo-Polynesian; Oceanic; North New Guinea","","","Technically, it is a member of the dialect chain which constitutes the large Mumeng language.","Papua New Guinea;","Pacific","-7.0572, 146.3598"
"2558","dny","Dení","Deni; Den; Dani;","Threatened (20 percent certain, based on the evidence available)","~1200","Arawan","Inauini;","","","Brazil;","South America","-6.0,-67.0"
"881","anv","Denya","Anyang; Agnang; Anyan; Anyah; Eyan; Takamanda; Obonya; Nyang;","Vulnerable (20 percent certain, based on the evidence available)",">11,200","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","Bitieku; Bajwo; Basho; Takamanda;","","","Cameroon;","Africa",""
"4071","der","Deori","Chutia; Deuri; Chutiya; Dewri; Drori; Dari; Deori Chutiya","Threatened (40 percent certain, based on the evidence available)","28,000","Sino-Tibetan; Brahmaputran","","","","India;","South Asia","26.0,90.25"
"10674","kbv","Dera","Dla; Dra; Kamberataro; Kamberatoro; Mangguar; Menggwa Dla; Duka-Ekor","Threatened (60 percent certain, based on the evidence available)","1,200","Senagi","Menggwa Dla (Duka-Ekor); Dera (Dla proper)","","Laycock (1973) lists two separate languages--Dera (Dra) and Duka-Ekor--although all data from the latter come from Voorhoeve (1971), citing Galis (1956).  These are, however, mutually intelligible dialects of the same language (de Sousa 2006).","Indonesia;Papua New Guinea;","Southeast Asia;Pacific","-3.6, 141.0"
"1455","des","Desano","Desana; Desano; Desâna; Dessano; Wina; Uina; Wirã; Boleka; Oregu; Kusibi; Desána; Dessana; Desana-Siriana; Kotedia; Wira","Endangered (20 percent certain, based on the evidence available)","~450
","Tucanoan; Eastern Tucanoan","","","Desano [des] and Siriano [sri] are not considered separate languages by several scholars. (Cf. Campbell 2012:107.)
""Lexical similarity: 90% with Desano [des], but the 2 languages diverge in their use of grammatical suffixes (Crevels 2007)"" (Ethnologue 2013).
","Brazil;Colombia;","South America","0.272789,-69.761979;0.620173,-69.749138;0.719640,-70.181896"
"4805","dee","Dewoin","De; Dey; Dei; Dewoi;","Threatened (20 percent certain, based on the evidence available)","8,100","Niger-Congo; Atlantic-Congo; Kru","","","","Liberia;","Africa",""
"4079","dhs","Dhaiso","Kidhaiso; Daiso; Daisu; Kiseguju;","Threatened (20 percent certain, based on the evidence available)","5,000","Niger-Congo; Atlantic-Congo; Benue-Congo; Southern Bantoid","","","","Tanzania;","Africa","-5.0745,38.4741"
"4117","dyn","Dhanggati","Djan-Gadi; Dainggati; Boorkutti; Dangadi; Dangati; Danggadi; Danggetti; Ghangatty; Thangatti; Amberu; Burgadi; Burrgati; Burugardi; Daingatti; daNati; Dang-getti; Danghetti; Dhangatty; Dhang-atty; Dhanggatti; Dhungutti; Djaingadi; Djangadi; Dunghutti; Dunggudi; Himberrong; Jang; Macleay Valley language; Ngaku; Nulla Nulla; Tangetti; Tang-gette; Thangatty; Thungatti; Yung; Yunggai; Danggali; Dangali; Tungarlee; Tongaranka; Dianggati; Dyangadi;Thanggatti;Thanggati","Awakening ()","","Pama-Nyungan; Yuin-Kuric","","","","Australia;","Australia","-30.94350452, 152.1724551"
"5725","dhg","Dhangu-Djangu","Dhangu; Dhaŋu; Djangu; Warameri; Waramiri; Dangu; Dhangu'mi; Yirgala;","Endangered (20 percent certain, based on the evidence available)","<350","Pama-Nyungan; Yolngu","Golumala; Wangurri; Ngaymil; Dhangu-Djangu; Gaalpu; Rirratjingu;","","","Australia;","Australia","-12.38347818,136.7522892"
"4080","dhw","Dhanwar","Dhanvar; Danuwar Rai; Danuwar; Denwar; Danuvār","Threatened (40 percent certain, based on the evidence available)","23,721","Indo-European; Indo-Iranian; Indo-Aryan","Done Danuwar; Kachāḍiyā Danuwar; Danuvār Rāī","","","Nepal;","South Asia","26.9661,86.3223"
"8329","nfa","Dhao","Ndao; Dao; Ndaonese; Ndaundau; Kahore","Threatened (20 percent certain, based on the evidence available)","~3,000","Austronesian; Malayo-Polynesian; Sumba-Hawu","","","","Indonesia;","Southeast Asia","-10.82, 122.67"
"5114","tbh","Dharawal","Tharawal; Darawal; Carawal; Turawal; Thurrawal; Thurrawall; Turuwal; Turuwul; Turrubul; Tutuwull; Ta-ga-ry; Five Islands tribe;  Dharawaal; Dharawa; Turuwull;Thurawal;","Critically Endangered (20 percent certain, based on the evidence available)","4","Pama-Nyungan; Yuin-Kuric","Wadiwadi;","","","Australia;","Australia","-25.68629188,145.6371438"
"6686","xdk","Dharug","Dharuk; Daruk; Dharruk; Eora; Lyora; Sydney Language; Broken Bay tribe; Darrook; Dharrook; Dharrok; Oharruk; Eo-ra; Ea-ora; Iora; Yo-ra; Kameraigal; Kem:arai; Kemmaraigal; Camera-gal; Cammera; Camerray-gal; Cam-meray; Kemmirai-gal; Gweagal; Bedia-mangora; Gouia-gul; Gouia; Botany Bay tribe; Wanuwangul; Kadigal; Caddiegal;Darug; Dhar’rook","Awakening ()","","Pama-Nyungan; Yuin-Kuric","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","Dharuk was one of the first Australian languages that Europeans came into contact with. William Dawes was with the First Fleet and made extensive notes about the language. Those notebooks are now available at http://www.williamdawes.org/. See also http://australianmuseum.net.au/Aboriginal-People-of-Coastal-Sydney for more information about the Traditional Owners of the coastal Sydney region.","Australia;","Australia","-33.52925837,150.3490464"
"6350","xgm","Dharumbal","Baiali; Biyali; Darambal; Orambul; Charumbul; Darawal; Darumbal; Kooinmarburra; Kuinmurbara; Ningebal; Tarumbal; Tharumbal; Urambal; Warabal; Yetimarala; Wandandian (?); Byellee; Bieli; Byellel; Tarumbul; Koinjmal; Guñmal; Kooinmerburra; Kungmal; Kungalburra; Mamburra; Bayali; Koinbal","Awakening ()","","Pama-Nyungan; Maric","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-23.05169278,150.4004615"
"4065","dax","Dhay'yi","Dayi; Dha'i; Daii; Dalwango; Dalwongu; Darlwongo; Dha?i; Dhalwangu; Dha'yi; Dhayyi; Djarlwa:g; Djawark; Taii Tai;","Critically Endangered (20 percent certain, based on the evidence available)","3","Pama-Nyungan; Yolngu","Djarrwark; Dhalwangu;","","","Australia;","Australia","-13.0255,136.213856"
"4076","dhi","Dhimal","Dhīmāl","Endangered (40 percent certain, based on the evidence available)","Approximately 20,000","Sino-Tibetan; Dhimalish","Western Dhimal; Eastern Dhimal","","","India;Nepal;","South Asia","26.6666666667,87.75"
"6777","dhx","Dhungaloo","","Dormant ()","0","Pama-Nyungan; Maric","","","","Australia;","Australia",""
"6659","dhu","Dhurga","Dhu'rga; Durga; Thoorga; Tharumba; Thurga; Bugellimanj; Bargalia; Moruya; Bugellimangi; Walbanga; Thaua; Thawa; Thauaira; Tadermanji; Tauaira; Guyangalyuin; Wandanian; Kurialyuin; Dhuurga; Duurga","Awakening ()","","Pama-Nyungan; Yuin-Kuric","","Note on Australian languages with no known speakers: For some languages, we haven't been able to confirm speaker numbers. In other cases, there isn't anyone who has grown up speaking the language, but there are still people who identify with the language, and who are working to revitalize their languages. We've chosen to include these languages in the Catalogue for this reason.","","Australia;","Australia","-35.54363597, 150.1793725"
